name	output_shape	class
input_layer_1	None	InputLayer
nasnet_mobile	(None, 7, 7, 1056)	Functional
nasnet_mobile/input_layer	None	InputLayer
nasnet_mobile/stem_conv1	None	Conv2D
nasnet_mobile/stem_bn1	None	BatchNormalization
nasnet_mobile/activation	None	Activation
nasnet_mobile/reduction_conv_1_stem_1	None	Conv2D
nasnet_mobile/reduction_bn_1_stem_1	None	BatchNormalization
nasnet_mobile/activation_1	None	Activation
nasnet_mobile/activation_3	None	Activation
nasnet_mobile/separable_conv_1_pad_reduction_left1_stem_1	None	ZeroPadding2D
nasnet_mobile/separable_conv_1_pad_reduction_right1_stem_1	None	ZeroPadding2D
nasnet_mobile/separable_conv_1_reduction_left1_stem_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_reduction_right1_stem_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_reduction_left1_stem_1	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_reduction_right1_stem_1	None	BatchNormalization
nasnet_mobile/activation_2	None	Activation
nasnet_mobile/activation_4	None	Activation
nasnet_mobile/separable_conv_2_reduction_left1_stem_1	None	SeparableConv2D
nasnet_mobile/separable_conv_2_reduction_right1_stem_1	None	SeparableConv2D
nasnet_mobile/activation_5	None	Activation
nasnet_mobile/separable_conv_2_bn_reduction_left1_stem_1	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_reduction_right1_stem_1	None	BatchNormalization
nasnet_mobile/separable_conv_1_pad_reduction_right2_stem_1	None	ZeroPadding2D
nasnet_mobile/activation_7	None	Activation
nasnet_mobile/reduction_add_1_stem_1	None	Add
nasnet_mobile/separable_conv_1_reduction_right2_stem_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_pad_reduction_right3_stem_1	None	ZeroPadding2D
nasnet_mobile/activation_9	None	Activation
nasnet_mobile/separable_conv_1_bn_reduction_right2_stem_1	None	BatchNormalization
nasnet_mobile/separable_conv_1_reduction_right3_stem_1	None	SeparableConv2D
nasnet_mobile/separable_conv_1_reduction_left4_stem_1	None	SeparableConv2D
nasnet_mobile/activation_6	None	Activation
nasnet_mobile/separable_conv_1_bn_reduction_right3_stem_1	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_reduction_left4_stem_1	None	BatchNormalization
nasnet_mobile/reduction_pad_1_stem_1	None	ZeroPadding2D
nasnet_mobile/separable_conv_2_reduction_right2_stem_1	None	SeparableConv2D
nasnet_mobile/activation_8	None	Activation
nasnet_mobile/activation_10	None	Activation
nasnet_mobile/reduction_left2_stem_1	None	MaxPooling2D
nasnet_mobile/separable_conv_2_bn_reduction_right2_stem_1	None	BatchNormalization
nasnet_mobile/separable_conv_2_reduction_right3_stem_1	None	SeparableConv2D
nasnet_mobile/separable_conv_2_reduction_left4_stem_1	None	SeparableConv2D
nasnet_mobile/adjust_relu_1_stem_2	None	Activation
nasnet_mobile/reduction_add_2_stem_1	None	Add
nasnet_mobile/reduction_left3_stem_1	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_reduction_right3_stem_1	None	BatchNormalization
nasnet_mobile/reduction_left4_stem_1	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_reduction_left4_stem_1	None	BatchNormalization
nasnet_mobile/reduction_right5_stem_1	None	MaxPooling2D
nasnet_mobile/zero_padding2d	None	ZeroPadding2D
nasnet_mobile/reduction_add3_stem_1	None	Add
nasnet_mobile/add	None	Add
nasnet_mobile/reduction_add4_stem_1	None	Add
nasnet_mobile/cropping2d	None	Cropping2D
nasnet_mobile/reduction_concat_stem_1	None	Concatenate
nasnet_mobile/adjust_avg_pool_1_stem_2	None	AveragePooling2D
nasnet_mobile/adjust_avg_pool_2_stem_2	None	AveragePooling2D
nasnet_mobile/activation_11	None	Activation
nasnet_mobile/adjust_conv_1_stem_2	None	Conv2D
nasnet_mobile/adjust_conv_2_stem_2	None	Conv2D
nasnet_mobile/reduction_conv_1_stem_2	None	Conv2D
nasnet_mobile/concatenate	None	Concatenate
nasnet_mobile/reduction_bn_1_stem_2	None	BatchNormalization
nasnet_mobile/adjust_bn_stem_2	None	BatchNormalization
nasnet_mobile/activation_12	None	Activation
nasnet_mobile/activation_14	None	Activation
nasnet_mobile/separable_conv_1_pad_reduction_left1_stem_2	None	ZeroPadding2D
nasnet_mobile/separable_conv_1_pad_reduction_right1_stem_2	None	ZeroPadding2D
nasnet_mobile/separable_conv_1_reduction_left1_stem_2	None	SeparableConv2D
